Grupo B
Libro_112844, ID: 112844, Suma ID: 20, ID EN BINARIO: 11011100011001100, ID EN HEXADECIMAL: 1B8CC, FACTORIAL SUMA: 2432902008176640000
Libro_236726, ID: 236726, Suma ID: 26, ID EN BINARIO: 111001110010110110, ID EN HEXADECIMAL: 39CB6, FACTORIAL SUMA: 16877220553537093632
Libro_238973, ID: 238973, Suma ID: 32, ID EN BINARIO: 111010010101111101, ID EN HEXADECIMAL: 3A57D, FACTORIAL SUMA: 12400865694432886784
Libro_243238, ID: 243238, Suma ID: 22, ID EN BINARIO: 111011011000100110, ID EN HEXADECIMAL: 3B626, FACTORIAL SUMA: 17196083355034583040
Libro_249256, ID: 249256, Suma ID: 28, ID EN BINARIO: 111100110110101000, ID EN HEXADECIMAL: 3CDA8, FACTORIAL SUMA: 12478583540742619136
Libro_249365, ID: 249365, Suma ID: 29, ID EN BINARIO: 111100111000010101, ID EN HEXADECIMAL: 3CE15, FACTORIAL SUMA: 11390785281054474240
Libro_252457, ID: 252457, Suma ID: 25, ID EN BINARIO: 111101101000101001, ID EN HEXADECIMAL: 3DA29, FACTORIAL SUMA: 7034535277573963776
Libro_253817, ID: 253817, Suma ID: 26, ID EN BINARIO: 111101111101111001, ID EN HEXADECIMAL: 3DF79, FACTORIAL SUMA: 16877220553537093632
Libro_254438, ID: 254438, Suma ID: 26, ID EN BINARIO: 111110000111100110, ID EN HEXADECIMAL: 3E1E6, FACTORIAL SUMA: 16877220553537093632
Libro_255838, ID: 255838, Suma ID: 31, ID EN BINARIO: 111110011101011110, ID EN HEXADECIMAL: 3E75E, FACTORIAL SUMA: 4999213071378415616
Libro_259297, ID: 259297, Suma ID: 34, ID EN BINARIO: 111111010011100001, ID EN HEXADECIMAL: 3F4E1, FACTORIAL SUMA: 4926277576697053184
Libro_261611, ID: 261611, Suma ID: 17, ID EN BINARIO: 111111110111101011, ID EN HEXADECIMAL: 3FDEB, FACTORIAL SUMA: 355687428096000
Libro_262776, ID: 262776, Suma ID: 30, ID EN BINARIO: 1000000001001111000, ID EN HEXADECIMAL: 40278, FACTORIAL SUMA: 9682165104862298112
Libro_264959, ID: 264959, Suma ID: 35, ID EN BINARIO: 1000000101011111111, ID EN HEXADECIMAL: 40AFF, FACTORIAL SUMA: 6399018521010896896
Libro_266891, ID: 266891, Suma ID: 32, ID EN BINARIO: 1000001001010001011, ID EN HEXADECIMAL: 4128B, FACTORIAL SUMA: 12400865694432886784
Libro_266919, ID: 266919, Suma ID: 33, ID EN BINARIO: 1000001001010100111, ID EN HEXADECIMAL: 412A7, FACTORIAL SUMA: 3400198294675128320
Libro_271285, ID: 271285, Suma ID: 25, ID EN BINARIO: 1000010001110110101, ID EN HEXADECIMAL: 423B5, FACTORIAL SUMA: 7034535277573963776
Libro_272967, ID: 272967, Suma ID: 33, ID EN BINARIO: 1000010101001000111, ID EN HEXADECIMAL: 42A47, FACTORIAL SUMA: 3400198294675128320
Libro_278271, ID: 278271, Suma ID: 27, ID EN BINARIO: 1000011111011111111, ID EN HEXADECIMAL: 43EFF, FACTORIAL SUMA: 12963097176472289280
Libro_279542, ID: 279542, Suma ID: 29, ID EN BINARIO: 1000100001111110110, ID EN HEXADECIMAL: 443F6, FACTORIAL SUMA: 11390785281054474240
Libro_282778, ID: 282778, Suma ID: 34, ID EN BINARIO: 1000101000010011010, ID EN HEXADECIMAL: 4509A, FACTORIAL SUMA: 4926277576697053184
Libro_283765, ID: 283765, Suma ID: 31, ID EN BINARIO: 1000101010001110101, ID EN HEXADECIMAL: 45475, FACTORIAL SUMA: 4999213071378415616
Libro_283849, ID: 283849, Suma ID: 34, ID EN BINARIO: 1000101010011001001, ID EN HEXADECIMAL: 454C9, FACTORIAL SUMA: 4926277576697053184
Libro_284276, ID: 284276, Suma ID: 29, ID EN BINARIO: 1000101011001110100, ID EN HEXADECIMAL: 45674, FACTORIAL SUMA: 11390785281054474240
Libro_287847, ID: 287847, Suma ID: 36, ID EN BINARIO: 1000110010001100111, ID EN HEXADECIMAL: 46467, FACTORIAL SUMA: 9003737871877668864
Libro_288196, ID: 288196, Suma ID: 34, ID EN BINARIO: 1000110010111000100, ID EN HEXADECIMAL: 465C4, FACTORIAL SUMA: 4926277576697053184
Libro_288669, ID: 288669, Suma ID: 39, ID EN BINARIO: 1000110011110011101, ID EN HEXADECIMAL: 4679D, FACTORIAL SUMA: 2304077777655037952
Libro_291999, ID: 291999, Suma ID: 39, ID EN BINARIO: 1000111010010011111, ID EN HEXADECIMAL: 4749F, FACTORIAL SUMA: 2304077777655037952
Libro_292776, ID: 292776, Suma ID: 33, ID EN BINARIO: 1000111011110101000, ID EN HEXADECIMAL: 477A8, FACTORIAL SUMA: 3400198294675128320
Libro_296634, ID: 296634, Suma ID: 30, ID EN BINARIO: 1001000011010111010, ID EN HEXADECIMAL: 486BA, FACTORIAL SUMA: 9682165104862298112
Libro_297661, ID: 297661, Suma ID: 31, ID EN BINARIO: 1001000101010111101, ID EN HEXADECIMAL: 48ABD, FACTORIAL SUMA: 4999213071378415616
Libro_298289, ID: 298289, Suma ID: 38, ID EN BINARIO: 1001000110100110001, ID EN HEXADECIMAL: 48D31, FACTORIAL SUMA: 4789013295250014208
Libro_311289, ID: 311289, Suma ID: 24, ID EN BINARIO: 1001011111111111001, ID EN HEXADECIMAL: 4BFF9, FACTORIAL SUMA: 10611558092380307456
Libro_314348, ID: 314348, Suma ID: 23, ID EN BINARIO: 1001100101111101100, ID EN HEXADECIMAL: 4CBEC, FACTORIAL SUMA: 8128291617894825984
Libro_322364, ID: 322364, Suma ID: 20, ID EN BINARIO: 1001110101100111100, ID EN HEXADECIMAL: 4EB3C, FACTORIAL SUMA: 2432902008176640000
Libro_322641, ID: 322641, Suma ID: 18, ID EN BINARIO: 1001110110001010001, ID EN HEXADECIMAL: 4EC51, FACTORIAL SUMA: 6402373705728000
Libro_332471, ID: 332471, Suma ID: 20, ID EN BINARIO: 1010001001010110111, ID EN HEXADECIMAL: 512B7, FACTORIAL SUMA: 2432902008176640000
Libro_336369, ID: 336369, Suma ID: 30, ID EN BINARIO: 1010010000111110001, ID EN HEXADECIMAL: 521F1, FACTORIAL SUMA: 9682165104862298112
Libro_337252, ID: 337252, Suma ID: 22, ID EN BINARIO: 1010010010101100100, ID EN HEXADECIMAL: 52564, FACTORIAL SUMA: 17196083355034583040
Libro_337871, ID: 337871, Suma ID: 29, ID EN BINARIO: 1010010011111001111, ID EN HEXADECIMAL: 527CF, FACTORIAL SUMA: 11390785281054474240
Libro_338734, ID: 338734, Suma ID: 28, ID EN BINARIO: 1010010101100101110, ID EN HEXADECIMAL: 52B2E, FACTORIAL SUMA: 12478583540742619136
Libro_341476, ID: 341476, Suma ID: 25, ID EN BINARIO: 1010011010111100100, ID EN HEXADECIMAL: 535E4, FACTORIAL SUMA: 7034535277573963776
Libro_347423, ID: 347423, Suma ID: 23, ID EN BINARIO: 1010100110100011111, ID EN HEXADECIMAL: 54D1F, FACTORIAL SUMA: 8128291617894825984
Libro_351715, ID: 351715, Suma ID: 22, ID EN BINARIO: 1010101110111100011, ID EN HEXADECIMAL: 55DE3, FACTORIAL SUMA: 17196083355034583040
Libro_352183, ID: 352183, Suma ID: 22, ID EN BINARIO: 1010101111110110111, ID EN HEXADECIMAL: 55FB7, FACTORIAL SUMA: 17196083355034583040
Libro_354511, ID: 354511, Suma ID: 19, ID EN BINARIO: 1010110100011001111, ID EN HEXADECIMAL: 568CF, FACTORIAL SUMA: 121645100408832000
Libro_355824, ID: 355824, Suma ID: 27, ID EN BINARIO: 1010110110111110000, ID EN HEXADECIMAL: 56DF0, FACTORIAL SUMA: 12963097176472289280
Libro_362437, ID: 362437, Suma ID: 25, ID EN BINARIO: 1011000011111000101, ID EN HEXADECIMAL: 587C5, FACTORIAL SUMA: 7034535277573963776
Libro_363423, ID: 363423, Suma ID: 21, ID EN BINARIO: 1011000101110011111, ID EN HEXADECIMAL: 58B9F, FACTORIAL SUMA: 14197454024290336768
Libro_364414, ID: 364414, Suma ID: 22, ID EN BINARIO: 1011000111101111110, ID EN HEXADECIMAL: 58F7E, FACTORIAL SUMA: 17196083355034583040
Libro_373347, ID: 373347, Suma ID: 27, ID EN BINARIO: 1011011001001100011, ID EN HEXADECIMAL: 5B263, FACTORIAL SUMA: 12963097176472289280
Libro_374754, ID: 374754, Suma ID: 30, ID EN BINARIO: 1011011011111100010, ID EN HEXADECIMAL: 5B7E2, FACTORIAL SUMA: 9682165104862298112
Libro_378299, ID: 378299, Suma ID: 38, ID EN BINARIO: 1011100010110111011, ID EN HEXADECIMAL: 5C5BB, FACTORIAL SUMA: 4789013295250014208
Libro_382237, ID: 382237, Suma ID: 25, ID EN BINARIO: 1011101010100011101, ID EN HEXADECIMAL: 5D51D, FACTORIAL SUMA: 7034535277573963776
Libro_386396, ID: 386396, Suma ID: 35, ID EN BINARIO: 1011110010101011100, ID EN HEXADECIMAL: 5E55C, FACTORIAL SUMA: 6399018521010896896
Libro_387366, ID: 387366, Suma ID: 33, ID EN BINARIO: 1011110100100100110, ID EN HEXADECIMAL: 5E926, FACTORIAL SUMA: 3400198294675128320
Libro_387711, ID: 387711, Suma ID: 27, ID EN BINARIO: 1011110101001111111, ID EN HEXADECIMAL: 5EA7F, FACTORIAL SUMA: 12963097176472289280
Libro_394124, ID: 394124, Suma ID: 23, ID EN BINARIO: 1100000001110001100, ID EN HEXADECIMAL: 6038C, FACTORIAL SUMA: 8128291617894825984
Libro_394185, ID: 394185, Suma ID: 30, ID EN BINARIO: 1100000001111001001, ID EN HEXADECIMAL: 603C9, FACTORIAL SUMA: 9682165104862298112
Libro_396225, ID: 396225, Suma ID: 27, ID EN BINARIO: 1100000101111000001, ID EN HEXADECIMAL: 60BC1, FACTORIAL SUMA: 12963097176472289280
Libro_396687, ID: 396687, Suma ID: 39, ID EN BINARIO: 1100000110110001111, ID EN HEXADECIMAL: 60D8F, FACTORIAL SUMA: 2304077777655037952
Libro_396892, ID: 396892, Suma ID: 37, ID EN BINARIO: 1100000111001011100, ID EN HEXADECIMAL: 60E5C, FACTORIAL SUMA: 1096907932701818880
Libro_413957, ID: 413957, Suma ID: 29, ID EN BINARIO: 1100101000100000101, ID EN HEXADECIMAL: 65105, FACTORIAL SUMA: 11390785281054474240
Libro_418986, ID: 418986, Suma ID: 36, ID EN BINARIO: 1100110010010101010, ID EN HEXADECIMAL: 664AA, FACTORIAL SUMA: 9003737871877668864
Libro_421346, ID: 421346, Suma ID: 20, ID EN BINARIO: 1100110110111100010, ID EN HEXADECIMAL: 66DE2, FACTORIAL SUMA: 2432902008176640000
Libro_423453, ID: 423453, Suma ID: 21, ID EN BINARIO: 1100111011000011101, ID EN HEXADECIMAL: 6761D, FACTORIAL SUMA: 14197454024290336768
Libro_427739, ID: 427739, Suma ID: 32, ID EN BINARIO: 1101000011011011011, ID EN HEXADECIMAL: 686DB, FACTORIAL SUMA: 12400865694432886784
Libro_428816, ID: 428816, Suma ID: 29, ID EN BINARIO: 1101000101100010000, ID EN HEXADECIMAL: 68B10, FACTORIAL SUMA: 11390785281054474240
Libro_438299, ID: 438299, Suma ID: 35, ID EN BINARIO: 1101011000000011011, ID EN HEXADECIMAL: 6B01B, FACTORIAL SUMA: 6399018521010896896
Libro_438615, ID: 438615, Suma ID: 27, ID EN BINARIO: 1101011000101010111, ID EN HEXADECIMAL: 6B157, FACTORIAL SUMA: 12963097176472289280
Libro_439594, ID: 439594, Suma ID: 34, ID EN BINARIO: 1101011010100101010, ID EN HEXADECIMAL: 6B52A, FACTORIAL SUMA: 4926277576697053184
Libro_443627, ID: 443627, Suma ID: 26, ID EN BINARIO: 1101100010011101011, ID EN HEXADECIMAL: 6C4EB, FACTORIAL SUMA: 16877220553537093632
Libro_446568, ID: 446568, Suma ID: 33, ID EN BINARIO: 1101101000001101000, ID EN HEXADECIMAL: 6D068, FACTORIAL SUMA: 3400198294675128320
Libro_447274, ID: 447274, Suma ID: 28, ID EN BINARIO: 1101101001100101010, ID EN HEXADECIMAL: 6D32A, FACTORIAL SUMA: 12478583540742619136
Libro_451571, ID: 451571, Suma ID: 23, ID EN BINARIO: 1101110001111110011, ID EN HEXADECIMAL: 6E3F3, FACTORIAL SUMA: 8128291617894825984
Libro_452215, ID: 452215, Suma ID: 19, ID EN BINARIO: 1101110011001110111, ID EN HEXADECIMAL: 6E677, FACTORIAL SUMA: 121645100408832000
Libro_452294, ID: 452294, Suma ID: 26, ID EN BINARIO: 1101110011011000110, ID EN HEXADECIMAL: 6E6C6, FACTORIAL SUMA: 16877220553537093632
Libro_453314, ID: 453314, Suma ID: 20, ID EN BINARIO: 1101110101011000010, ID EN HEXADECIMAL: 6EAC2, FACTORIAL SUMA: 2432902008176640000
Libro_455974, ID: 455974, Suma ID: 34, ID EN BINARIO: 1101111010100100110, ID EN HEXADECIMAL: 6F526, FACTORIAL SUMA: 4926277576697053184
Libro_457682, ID: 457682, Suma ID: 32, ID EN BINARIO: 1101111101111010010, ID EN HEXADECIMAL: 6FBD2, FACTORIAL SUMA: 12400865694432886784
Libro_468315, ID: 468315, Suma ID: 27, ID EN BINARIO: 1110010010101011011, ID EN HEXADECIMAL: 7255B, FACTORIAL SUMA: 12963097176472289280
Libro_472995, ID: 472995, Suma ID: 36, ID EN BINARIO: 1110011011110100011, ID EN HEXADECIMAL: 737A3, FACTORIAL SUMA: 9003737871877668864
Libro_473574, ID: 473574, Suma ID: 30, ID EN BINARIO: 1110011100111100110, ID EN HEXADECIMAL: 739E6, FACTORIAL SUMA: 9682165104862298112
Libro_476634, ID: 476634, Suma ID: 30, ID EN BINARIO: 1110100010111011010, ID EN HEXADECIMAL: 745DA, FACTORIAL SUMA: 9682165104862298112
Libro_484327, ID: 484327, Suma ID: 28, ID EN BINARIO: 1110110001111100111, ID EN HEXADECIMAL: 763E7, FACTORIAL SUMA: 12478583540742619136
Libro_492243, ID: 492243, Suma ID: 24, ID EN BINARIO: 1111000001011010011, ID EN HEXADECIMAL: 782D3, FACTORIAL SUMA: 10611558092380307456
Libro_492477, ID: 492477, Suma ID: 33, ID EN BINARIO: 1111000001110111101, ID EN HEXADECIMAL: 783BD, FACTORIAL SUMA: 3400198294675128320
Libro_494479, ID: 494479, Suma ID: 37, ID EN BINARIO: 1111000101110001111, ID EN HEXADECIMAL: 78B8F, FACTORIAL SUMA: 1096907932701818880
Libro_496511, ID: 496511, Suma ID: 26, ID EN BINARIO: 1111001001101111111, ID EN HEXADECIMAL: 7937F, FACTORIAL SUMA: 16877220553537093632
Libro_497181, ID: 497181, Suma ID: 30, ID EN BINARIO: 1111001011000011101, ID EN HEXADECIMAL: 7961D, FACTORIAL SUMA: 9682165104862298112
Libro_497614, ID: 497614, Suma ID: 31, ID EN BINARIO: 1111001011111001110, ID EN HEXADECIMAL: 797CE, FACTORIAL SUMA: 4999213071378415616
Libro_511679, ID: 511679, Suma ID: 29, ID EN BINARIO: 1111100111010111111, ID EN HEXADECIMAL: 7CEBF, FACTORIAL SUMA: 11390785281054474240
Libro_515852, ID: 515852, Suma ID: 26, ID EN BINARIO: 1111101111100001100, ID EN HEXADECIMAL: 7DF0C, FACTORIAL SUMA: 16877220553537093632
Libro_515898, ID: 515898, Suma ID: 36, ID EN BINARIO: 1111101111100111010, ID EN HEXADECIMAL: 7DF3A, FACTORIAL SUMA: 9003737871877668864
Libro_519886, ID: 519886, Suma ID: 37, ID EN BINARIO: 1111110111011001110, ID EN HEXADECIMAL: 7EECE, FACTORIAL SUMA: 1096907932701818880
Libro_521398, ID: 521398, Suma ID: 28, ID EN BINARIO: 1111111010010110110, ID EN HEXADECIMAL: 7F4B6, FACTORIAL SUMA: 12478583540742619136
Libro_528841, ID: 528841, Suma ID: 28, ID EN BINARIO: 10000001000111001001, ID EN HEXADECIMAL: 811C9, FACTORIAL SUMA: 12478583540742619136
Libro_532252, ID: 532252, Suma ID: 19, ID EN BINARIO: 10000001111100011100, ID EN HEXADECIMAL: 81F1C, FACTORIAL SUMA: 121645100408832000
Libro_532697, ID: 532697, Suma ID: 32, ID EN BINARIO: 10000010000011011001, ID EN HEXADECIMAL: 820D9, FACTORIAL SUMA: 12400865694432886784
Libro_533298, ID: 533298, Suma ID: 30, ID EN BINARIO: 10000010001100110010, ID EN HEXADECIMAL: 82332, FACTORIAL SUMA: 9682165104862298112
Libro_533529, ID: 533529, Suma ID: 27, ID EN BINARIO: 10000010010000011001, ID EN HEXADECIMAL: 82419, FACTORIAL SUMA: 12963097176472289280
Libro_535965, ID: 535965, Suma ID: 33, ID EN BINARIO: 10000010110110011101, ID EN HEXADECIMAL: 82D9D, FACTORIAL SUMA: 3400198294675128320
Libro_537214, ID: 537214, Suma ID: 22, ID EN BINARIO: 10000011001001111110, ID EN HEXADECIMAL: 8327E, FACTORIAL SUMA: 17196083355034583040
Libro_537629, ID: 537629, Suma ID: 32, ID EN BINARIO: 10000011010000011101, ID EN HEXADECIMAL: 8341D, FACTORIAL SUMA: 12400865694432886784
Libro_543565, ID: 543565, Suma ID: 28, ID EN BINARIO: 10000100101101001101, ID EN HEXADECIMAL: 84B4D, FACTORIAL SUMA: 12478583540742619136
Libro_544255, ID: 544255, Suma ID: 25, ID EN BINARIO: 10000100110111111111, ID EN HEXADECIMAL: 84DFF, FACTORIAL SUMA: 7034535277573963776
Libro_544377, ID: 544377, Suma ID: 30, ID EN BINARIO: 10000100111001111001, ID EN HEXADECIMAL: 84E79, FACTORIAL SUMA: 9682165104862298112
Libro_553694, ID: 553694, Suma ID: 32, ID EN BINARIO: 10000111001011011110, ID EN HEXADECIMAL: 872DE, FACTORIAL SUMA: 12400865694432886784
Libro_553986, ID: 553986, Suma ID: 36, ID EN BINARIO: 10000111010000000010, ID EN HEXADECIMAL: 87402, FACTORIAL SUMA: 9003737871877668864
Libro_559968, ID: 559968, Suma ID: 42, ID EN BINARIO: 10001000101101100000, ID EN HEXADECIMAL: 88B60, FACTORIAL SUMA: 7538058755741581312
Libro_561269, ID: 561269, Suma ID: 29, ID EN BINARIO: 10001001000001110101, ID EN HEXADECIMAL: 89075, FACTORIAL SUMA: 11390785281054474240
Libro_563197, ID: 563197, Suma ID: 31, ID EN BINARIO: 10001001011111111101, ID EN HEXADECIMAL: 897FD, FACTORIAL SUMA: 4999213071378415616
Libro_564363, ID: 564363, Suma ID: 27, ID EN BINARIO: 10001001110010001011, ID EN HEXADECIMAL: 89C8B, FACTORIAL SUMA: 12963097176472289280
Libro_565973, ID: 565973, Suma ID: 35, ID EN BINARIO: 10001010001011010101, ID EN HEXADECIMAL: 8A2D5, FACTORIAL SUMA: 6399018521010896896
Libro_567337, ID: 567337, Suma ID: 31, ID EN BINARIO: 10001010100000101001, ID EN HEXADECIMAL: 8A829, FACTORIAL SUMA: 4999213071378415616
