Grupo E
Libro_112572, ID: 112572, Suma ID: 18, ID EN BINARIO: 11011011110111100, ID EN HEXADECIMAL: 1B7BC, FACTORIAL SUMA: 6402373705728000
Libro_574979, ID: 574979, Suma ID: 41, ID EN BINARIO: 10001100011000000011, ID EN HEXADECIMAL: 8C603, FACTORIAL SUMA: 15551764317513711616
Libro_575183, ID: 575183, Suma ID: 29, ID EN BINARIO: 10001100011011001111, ID EN HEXADECIMAL: 8C6CF, FACTORIAL SUMA: 11390785281054474240
Libro_581611, ID: 581611, Suma ID: 22, ID EN BINARIO: 10001101111111101011, ID EN HEXADECIMAL: 8DFEB, FACTORIAL SUMA: 17196083355034583040
Libro_585458, ID: 585458, Suma ID: 35, ID EN BINARIO: 10001110111011110010, ID EN HEXADECIMAL: 8EEF2, FACTORIAL SUMA: 6399018521010896896
Libro_588664, ID: 588664, Suma ID: 37, ID EN BINARIO: 10001111101101111000, ID EN HEXADECIMAL: 8FB78, FACTORIAL SUMA: 1096907932701818880
Libro_588812, ID: 588812, Suma ID: 32, ID EN BINARIO: 10001111110000001100, ID EN HEXADECIMAL: 8FC0C, FACTORIAL SUMA: 12400865694432886784
Libro_595734, ID: 595734, Suma ID: 33, ID EN BINARIO: 10010001011100010110, ID EN HEXADECIMAL: 91716, FACTORIAL SUMA: 3400198294675128320
Libro_595758, ID: 595758, Suma ID: 39, ID EN BINARIO: 10010001011100101110, ID EN HEXADECIMAL: 9172E, FACTORIAL SUMA: 2304077777655037952
Libro_596357, ID: 596357, Suma ID: 35, ID EN BINARIO: 10010001100110000101, ID EN HEXADECIMAL: 91985, FACTORIAL SUMA: 6399018521010896896
Libro_596657, ID: 596657, Suma ID: 38, ID EN BINARIO: 10010001101010110001, ID EN HEXADECIMAL: 91AB1, FACTORIAL SUMA: 4789013295250014208
Libro_596867, ID: 596867, Suma ID: 41, ID EN BINARIO: 10010001101110000011, ID EN HEXADECIMAL: 91B83, FACTORIAL SUMA: 15551764317513711616
Libro_611478, ID: 611478, Suma ID: 27, ID EN BINARIO: 10010101010010010110, ID EN HEXADECIMAL: 95496, FACTORIAL SUMA: 12963097176472289280
Libro_612448, ID: 612448, Suma ID: 25, ID EN BINARIO: 10010101100001100000, ID EN HEXADECIMAL: 95860, FACTORIAL SUMA: 7034535277573963776
Libro_612818, ID: 612818, Suma ID: 26, ID EN BINARIO: 10010101100111010010, ID EN HEXADECIMAL: 959D2, FACTORIAL SUMA: 16877220553537093632
Libro_613153, ID: 613153, Suma ID: 19, ID EN BINARIO: 10010101101100100001, ID EN HEXADECIMAL: 95B21, FACTORIAL SUMA: 121645100408832000
Libro_613761, ID: 613761, Suma ID: 24, ID EN BINARIO: 10010101110110000001, ID EN HEXADECIMAL: 95D81, FACTORIAL SUMA: 10611558092380307456
Libro_614784, ID: 614784, Suma ID: 30, ID EN BINARIO: 10010110000110000000, ID EN HEXADECIMAL: 96180, FACTORIAL SUMA: 9682165104862298112
